"PERMITNO"|"FCLTUIN"|"FCLNAME"|"FCLTYAD"|"FCLTCIT"|"FCLTCTC"|"FCLSTCD"|"FCLZIPC"|"FCLGLAT"|"FCLGLON"|"IMPCAT"
"TX0105198"|"110039189044"|"UNKNOWN"|"UNKNOWN"|""|"1383960"|"TX"|""|32.005278|-96.218056|""
"TX0105201"|"110009774020"|"CITY OF CLYDE WWTP"|".72M S INTX FM 18 AND 2700"|"CLYDE"|"1373147"|"TX"|"79510"|32.378889|-99.480556|""
"TX0105210"|"110009774039"|"SOUTHEAST PLANT WWTP"|"EAST BANK LAKE GRANBURY"|"GRANBURY"|"1336797"|"TX"|"76048"|32.4175|-97.775|""
"TX0105228"|"110039189062"|"PROLER INTERNATIONAL CORP."|"15902 PENINSULA BLVD."|"CHANNEL VIEW"|"1373053"|"TX"|"77530"|29.737778|-95.121389|""
"TX0105261"|"110009774048"|"BEST SEA-PACK OF TX  WWTP"|"1.6MI W INTX CR 171 AND CR 203"|"DANBURY"|"1355621"|"TX"|"77534"|29.273333|-95.296111|""
"TX0105287"|"110000861862"|"FLINT HILLS RESOURCES PORT ART"|"4241 SAVANNAH AVENUE"|"PORT ARTHUR"|"1384151"|"TX"|"77640"|29.897222|-93.973056|""
"TX0105309"|"110039189482"|"ELGIN BUTLER BRICK COMPANY"|"FMR 696 IN THE COMMUNITY"|"ELGIN"|"1373617"|"TX"|""|30.321111|-97.2825|""
"TX0105350"|"110039189507"|"UNKNOWN"|"UNKNOWN"|""|"1345283"|"TX"|""|27.281111|-97.791667|""
"TX0105376"|"110009774066"|"FAIRFIELD VILLAGE REGIONAL WTP"|"19855 CYPRESSWOOD DRIVE"|"HOUSTON"|"1380948"|"TX"|""|29.981944|-95.726667|""
"TX0105406"|"110006686737"|"MAXEY ROAD WWTP"|"E SIDE GREGDALE RD 300' S INTX"|"HOUSTON"|"1380948"|"TX"|"77049"|29.833333|-95.2|""
"TX0105481"|"110000713728"|"PETRO GAS LIQUIDS PROCESSING"|"5314 INTERSTATE HIGHWAY 37"|"CORPUS CHRISTI"|"1333380"|"TX"|"784071524"|27.807222|-97.456944|""
"TX0105511"|"110039189516"|"UNKNOWN"|"UNKNOWN"|""|"1384025"|"TX"|""|27.359722|-99.505556|""
"TX0105643"|"110039189534"|"UNKNOWN"|"UNKNOWN"|""|"1383955"|"TX"|""|30.216111|-95.408333|""
"TX0105651"|"110007194847"|"SILAS RAY POWER PLANT"|"94 WEST 13TH ST"|"BROWNSVILLE"|"1372749"|"TX"|"78523"|25.918056|-97.529444|""
"TX0105660"|"110039189552"|"UNKNOWN"|"UNKNOWN"|""|"1383954"|"TX"|""|33.663611|-97.716667|""
"TX0105775"|"110039196321"|"COMPOAQ COPUTER CORPORATION"|"7300F E LOUETTA RD AND ST HWY 249"|"HOUSTON"|"1383886"|"TX"|""|""|""|""
"TX0105830"|"110005064688"|"DEER PARK HYDROGEN PLANT"|"2300 TIDAL ROAD"|"DEER PARK"|"1334219"|"TX"|"775071712"|29.733333|-95.099722|""
"TX0105872"|"110010921798"|"MAYFAIR ADDITION WWTP"|"2700 HIGHWAY 1187"|"BENBROOK"|"1380947"|"TX"|"76126"|32.571944|-97.391944|""
